year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,FIN,1,19,Любомир ИВАНОВ,Ktm 300,МСК ПРЕПАРАТОРИТЕ,04:13:23,,0,1,4:13:23.1,10:00:00,14:13:23,25,0,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,FIN,2,108,Атанас ДИМИТРОВ,Хонда 460,ЕНДУРО РАЙДЪРС СТАРОСЕЛ,05:35:59,,0,1,5:35:59.2,10:01:30,15:37:29,22,1:22:36.1,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,FIN,3,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,05:46:11,,0,1,5:46:11.6,10:01:00,15:47:11,20,1:32:48.5,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,FIN,4,112,Станислав КИРИЛОВ,GAS GAS EC300,МОТО ДРУЖИНА БАНСКО,05:46:58,,0,1,5:46:58.0,10:00:30,15:47:28,18,1:33:34.9,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,FIN,5,94,Димитър ЦВЕТКОВ,KTM 300,НК ВИКТОРИ,07:10:16,,0,1,7:10:16.4,10:02:00,17:12:16,16,2:56:53.3,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,DNF,,26,Георги ТОПАЛОВ Husqvarna TX 300i 2020,,,,,,,,,,,,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,DNF,,95,Илиян КОЦЕВ KTM 450 EXC-F,,,,,,,,,,,,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,DNF,,99,Светослав МАРИНОВ Sherco 300 SE,,,,,,,,,,,,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,DNF,,151,Николай МАНОВ GAS GAS 300,,,,,,,,,,,,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,DNF,,203,Веско ПАСПАЛЕВ Husqvarna Te 300,,,,,,,,,,,,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,DNF,,330,Мартин Маринов Beta 300 RR,,,,,,,,,,,,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ПРОФИ,DNF,,916,Росен ЖЕЛЯЗКОВ KTM 250,,,,,,,,,,,,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ЕКСПЕРТ,FIN,1,11,Иван ПЕЧЕВ,Балкан 50,МСК ХАРД РАЙДЪРС,03:32:43,,0,1,3:32:43.7,10:08:30,13:41:13,25,0,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ЕКСПЕРТ,FIN,2,97,Тихомир КЪНОВ,Ктм 300,НК ВИКТОРИ,03:40:05,,0,1,3:40:05.9,10:09:00,13:49:05,22,7:22.2,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ЕКСПЕРТ,FIN,3,180,Николай СЛАВОВ,KTM 300 EXC,НК ВИКТОРИ,03:55:23,,0,1,3:55:23.6,10:08:00,14:03:23,20,22:39.9,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ЕКСПЕРТ,FIN,4,131,Борис ЧАКЪРОВ,KTM 300 EXC,МОТО ДРУЖИНА БАНСКО,04:29:14,,0,1,4:29:14.9,10:10:00,14:39:14,18,56:31.2,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ЕКСПЕРТ,FIN,5,308,Иван ИВАНОВ,KTM EXC 250,МСК ПРЕПАРАТОРИТЕ,04:39:28,,0,1,4:39:28.8,10:10:30,14:49:58,16,1:06:45.1,
2022,hard_enduro_gornal_malina-2022-day1.pdf,Горна Малина 2022,1,ЕКСПЕРТ,FIN,6,102,Атанас АНГЕЛОВ,Husqvarna TE300i,МСК ХАРД РАЙДЪРС,04:40:28,,0,1,4:40:28.8,10:09:30,14:49:58,15,1:07:45.1,
